Category,UserStory,Type,ModuleID,Title,VerifiedInVersion,QuickstartID,Comments,Jira
.,,assembly,push-notifications,Using the Push Notifications Mobile Service,,,,
.,,concept,ref_terminology.adoc,,,,,
.,,procedure,,== Setting Up the {unifiedpush-service} Mobile Service,,,,
.,,procedure,obtaining_firebase_cloud_messaging_credentials.adoc,,,,,
.,,procedure,enable_push_notifications_for_ios_app.adoc,,,,,
.,,procedure,provisioning-the-push.adoc,,,,,
.,,procedure,binding-an-app-to-a-service.adoc,,,,,
.,,procedure,,== Configuring your client app,,,,
.,,procedure,downloading-configuration-file.adoc,,,,,
.,,procedure,setting-up-the-push-sdk.adoc,,,,,
.,,procedure,registering_device.adoc,,,,,
.,,procedure,sending-a-push-notification.adoc,,,,,
.,,procedure,handling-push-notifications.adoc,,,,,
