Category	UserStory	Type	ModuleID	Title	VerifiedInVersion	QuickstartID	Comments	Jira
.		assembly	security	Securing your mobile app				
.		assembly	app-security	Setting Up the Mobile Security Service				
.		procedure	provisioning-security					
.		procedure	binding-an-app-to-a-service					
.		procedure	configuring-the-service					
.		procedure	setting-up-the-app-security-sdk					
.		procedure	proc-calling-the-app-security-clientInit					
.		procedure	using-the-admin-ui.adoc					
.		assembly	device-security	Adding Device Checks to your mobile app				
.		concept	ref_terminology.adoc					
.		procedure	downloading-configuration-file.adoc					
.		procedure	setting-up-the-security-sdk.adoc					
.		procedure	performing-device-checks.adoc					
.		procedure	pinning-certificates.adoc					
